symbol,last,turnover24h,price24h_pct,1D,4H,1H,15m,1D_protected_low,1D_protected_high,1D_last_bos_side,1D_last_bos_level,1D_last_choch_side,1D_last_choch_level,4H_location,1H_location,15m_rsi,long_score,long_grade,long_rr,long_entry,long_stop_hint,long_target_hint,long_15m_trigger,long_5m_trigger,long_sweep15,long_mss15,long_disp15,long_fvg5,long_htf_aligned,long_chase_penalty,long_entry_model_ready,long_reasons,short_score,short_grade,short_rr,short_entry,short_stop_hint,short_target_hint,short_15m_trigger,short_5m_trigger,short_sweep15,short_mss15,short_disp15,short_fvg5,short_htf_aligned,short_chase_penalty,short_entry_model_ready,short_reasons,rs_vs_btc_30m_pct,rs_vs_btc_1h_pct,rs_vs_btc_4h_pct,btc_return_30m_pct,btc_return_1h_pct,btc_return_4h_pct,long_relative_strength_adj,short_relative_strength_adj,long_rs_persistence_bonus,short_rs_persistence_bonus,long_rs_positive_horizons,short_rs_positive_horizons,oi_change_15m_pct,oi_change_1h_pct,oi_change_4h_pct,long_oi_adj,short_oi_adj,oi_accelerating,long_score_base,short_score_base
BTCUSDT,81012.8,6830866703.0854,4.5273,bullish,bullish,bullish,bullish,74919.6,65596.0,bullish,79577.3,bullish,65596.0,premium,premium,46.6389922255586,12.80478186581171,B+,0.8652138821629503,81012.8,80888.9,81120.0,0,1,False,False,False,bullish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-10.757005121424765,C,1.1557835820896651,81012.8,81120.0,80888.9,1,0,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,-0.00012333923717910977,-0.0045677095035556725,-0.0044292155982228465,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,-0.004411829719399721,1.2544118297193998,0.0,1.25,0,3,0.0018938562533099557,-0.04603259139661642,-0.1472139027864583,-0.006020186631838749,0.732799466766175,False,12.815213882162949,-12.74421641791034
ETHUSDT,2628.72,4209795326.2335,5.8262,bullish,bullish,bullish,bullish,2356.05,1848.58,bullish,2615.0,bullish,1848.58,premium,premium,58.69311745194278,14.559822416321087,B+,0.2358053302433436,2628.73,2611.47,2632.8,1,0,False,False,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-10.189449072139913,C,4.240786240786123,2628.73,2632.8,2611.47,0,1,False,False,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,-0.07529604204880025,0.12394103930599698,0.5174482673994563,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,0.726188927605274,-0.22618892760527398,0.5,0.0,2,1,0.030958750732179574,0.7277321913669699,1.7222760249290259,1.747828158472473,0.8367398554653656,False,12.08580533024334,-10.800000000000004
SOLUSDT,111.82,1146419648.708,5.9202,bullish,bullish,bullish,bearish,95.69,105.77,bullish,105.94,bullish,105.77,premium,premium,33.797658841472185,9.245837799946768,B,,111.82,113.15,113.05,0,0,False,False,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m reverse,-1.1142028375764212,C,5.235772357723558,111.82,113.05,105.38,3,3,False,True,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m bearish | 4H premium,-0.8597922621708443,-0.6428598601963986,-1.2311212186590592,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,-1.4256448506208366,3.4256448506208366,0.0,2.0,0,3,0.07725093318200482,0.48910719124339863,0.47951501279770437,0.7977452022035375,1.6364148634386786,False,9.873737448364066,-6.176262551635936
ZECUSDT,1549.31,793385937.3321,2.4505,bullish,bullish,bullish,bullish,1037.94,429.37,bullish,1305.71,bullish,429.37,premium,premium,57.00512549366133,15.794519862113503,B+,0.1645299145299176,1549.31,1516.55,1554.7,1,1,False,False,False,bullish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-12.609117373732024,C,6.077922077921963,1549.31,1554.7,1516.55,0,0,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,0.29698451072145415,1.4217182345226842,0.3543977407764354,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,2.38591098145758,-1.13591098145758,1.25,0.0,3,0,0.21005281134880427,2.104760718212595,-1.2381755906788028,1.08428516676992,0.116999808369472,False,12.324323713886004,-11.590206200643918
XRPUSDT,1.4244,661107026.67,7.979,bullish,bearish,bullish,bullish,0.9877,1.0928,bearish,1.012,bullish,1.0928,premium,premium,56.69030380077406,3.0305926304737163,C,0.1506024096385648,1.4243,1.4077,1.4268,1,0,False,False,False,bearish,False,0.0,False,1D bullish | 4H reverse | 1H bullish | 15m bullish,0.8396716276943881,C,6.639999999999531,1.4243,1.4268,1.4077,0,1,False,False,False,bearish,False,0.0,False,1D reverse | 4H bearish | 1H reverse | 15m reverse | 4H premium,-0.8688091408208698,-0.20983663730064217,0.9970355827077615,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,-0.2979003776858349,0.2979003776858349,0.0,0.0,1,2,0.42138757338467947,1.8794880800854452,4.186418468921693,0.9997818892625363,2.2136625407501036,False,2.3287111188970147,-1.6718912907415504
HYPEUSDT,92.04,432245248.9289,4.7218,bullish,bullish,bullish,bearish,75.09,89.61,bullish,85.34,bullish,89.61,premium,premium,40.71620486637956,10.840884409919088,B+,3.3599999999999945,92.04,91.29,94.56,0,0,False,False,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m reverse,-8.99666313323064,C,0.2976190476190481,92.04,94.56,91.29,1,1,False,False,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m bearish | 4H premium,0.040467155331314064,-0.19132781209582062,-1.9179320370652064,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,-0.8473382860455327,1.3473382860455327,0.0,0.5,1,2,-0.19888485195466155,0.5147079672996657,-1.2166837389262608,-0.016069395386067883,0.7040874417540918,False,11.70429209135069,-11.048088861030266
NEARUSDT,3.68,397138771.5528,6.508500000000001,bullish,bullish,bullish,bearish,2.269,2.106,bullish,2.726,bullish,2.106,premium,premium,40.94054164764067,7.578265921413008,B+,1.2173913043478202,3.68,3.634,3.736,1,0,False,False,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m reverse,-5.609105939772369,C,0.8214285714285754,3.68,3.736,3.634,0,1,False,False,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m bearish | 4H premium,-1.4523050403247528,-1.4109302895756515,-3.904991313423956,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,-2.740120962162365,4.740120962162365,0.0,2.0,0,3,-0.09000117659093698,-0.12373704615343817,-0.9753001468329692,-0.03858133601046302,0.6397676113986771,False,10.356968219585836,-10.988994513333411
AKEUSDT,0.056971,193918988.9628,164.02939999999998,bullish,bullish,bullish,bullish,0.009393,0.0004136,bullish,0.021665,bullish,0.0004136,premium,premium,82.33352536029273,12.644243313989497,B,0.1146185206755968,0.056971,0.039801,0.058939,3,1,False,True,False,bullish,True,4.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-17.35485003440632,C,,0.056971,0.0487,0.039801,0,0,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,6.8546652091598155,15.653454487673969,34.991326272965566,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,5.75,-3.0,2.75,0.0,3,0,-1.4852635790948865,-4.349605217822394,-5.155596681610641,-0.7354233419688989,-0.5198981696891146,False,7.629666655958395,-13.834951864717205
UNIUSDT,8.984,171668160.841,5.459,bullish,bullish,bullish,bullish,5.801,4.115,bullish,7.483,bullish,4.115,premium,premium,53.41110936399888,13.301244687397135,B+,0.3167420814479569,8.992,8.771,9.062,1,0,False,False,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-11.632646563533319,C,3.157142857142926,8.992,9.062,8.771,0,1,False,False,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,-0.28082037650517533,0.7739196069093346,0.2424017181180016,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,0.8431420827796444,-0.3431420827796444,0.5,0.0,2,1,-0.09563030338223255,-0.0018665252700555968,1.0995901712423706,0.7974846214203151,0.016619617497110273,False,11.660617983197175,-11.306124098250784
DOGEUSDT,0.0873,151690716.9041,3.6909,bullish,bullish,bullish,bullish,0.07824,0.07536,bullish,0.08611,bullish,0.07536,premium,premium,41.35697107203202,13.035064547070437,B+,3.368421052631664,0.08731,0.08712,0.08795,0,0,False,False,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-10.72570220805162,C,0.2968749999999925,0.08731,0.08795,0.08712,1,1,False,False,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,-0.4637031796440927,-0.41867863429986274,-0.745794188709592,-0.10557838701877875,-0.014567289768074865,-0.353106910191503,-0.8419131637878217,2.0919131637878214,0.0,1.25,0,3,0.011889030439315995,0.14098848367425365,-0.21320753763552913,0.004594109316629032,0.7631260266189401,False,13.87238360154163,-13.58074139845838
