symbol,last,turnover24h,price24h_pct,1D,4H,1H,15m,1D_protected_low,1D_protected_high,1D_last_bos_side,1D_last_bos_level,1D_last_choch_side,1D_last_choch_level,4H_location,1H_location,15m_rsi,long_score,long_grade,long_rr,long_entry,long_stop_hint,long_target_hint,long_15m_trigger,long_5m_trigger,long_sweep15,long_mss15,long_disp15,long_fvg5,long_htf_aligned,long_chase_penalty,long_entry_model_ready,long_reasons,short_score,short_grade,short_rr,short_entry,short_stop_hint,short_target_hint,short_15m_trigger,short_5m_trigger,short_sweep15,short_mss15,short_disp15,short_fvg5,short_htf_aligned,short_chase_penalty,short_entry_model_ready,short_reasons,rs_vs_btc_30m_pct,rs_vs_btc_1h_pct,rs_vs_btc_4h_pct,btc_return_30m_pct,btc_return_1h_pct,btc_return_4h_pct,long_relative_strength_adj,short_relative_strength_adj,long_rs_persistence_bonus,short_rs_persistence_bonus,long_rs_positive_horizons,short_rs_positive_horizons,oi_change_15m_pct,oi_change_1h_pct,oi_change_4h_pct,long_oi_adj,short_oi_adj,oi_accelerating,long_score_base,short_score_base
PUMPFUNUSDT,0.004469,50397443.1732,2.9295,bullish,bullish,bullish,bullish,0.003907,0.0015497,bullish,0.004454,bullish,0.0015497,premium,premium,69.3776885865816,23.6342010167994,B+,0.3615384615384631,0.004469,0.004339,0.004516,5,5,False,True,True,bullish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-16.234125213247445,C,,0.004469,0.004415,0.004339,0,0,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,1.5703560282784523,1.7806844974713854,3.2069381745918113,-0.2674988854213134,-0.1293083506824,-0.7092508480423199,6.0,-2.947183318583976,2.75,0.0,3,0,0.02913837796807428,0.36471313088501933,0.32110002894252254,1.5916991537298484,0.782094703805447,False,16.04250186306955,-14.069036598468918
WIFUSDT,0.2499,36438098.9567,19.0222,bullish,bullish,bullish,bullish,0.1724,0.14757,bullish,0.2253,bullish,0.14757,premium,premium,67.83765897795904,22.295535573305855,B+,0.0930232558139494,0.2499,0.2413,0.2507,5,5,False,True,True,bullish,True,1.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-16.348116204032856,C,,0.2499,0.2477,0.2413,0,0,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,1.8606361403232907,2.72831825167249,5.869995348888346,-0.2674988854213134,-0.1293083506824,-0.7092508480423199,6.0,-3.0,2.75,0.0,3,0,0.32293365580311484,0.48117420074003103,-1.3606892141045934,1.5778900331150059,0.777261511590252,True,14.717645540190848,-14.125377715623106
SHIB1000USDT,0.006084,17763995.7176,9.3811,bullish,bullish,bullish,bullish,0.00474,0.00519,bullish,0.005575,bullish,0.00519,premium,premium,59.11116243319393,22.09400075649718,B+,0.3199999999999983,0.006084,0.005984,0.006116,2,3,False,False,True,bullish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-12.435991215342835,C,3.125000000000017,0.006084,0.006116,0.005984,1,0,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,0.912446793474897,1.1417564834624971,2.6352263965266687,-0.2674988854213134,-0.1293083506824,-0.7092508480423199,6.0,-2.301772051666264,2.75,0.0,3,0,0.31796250568063567,0.6981850444581994,4.045584394438473,2.724184492574997,1.665964572401249,True,13.369816263922182,-11.80018373607782
FARTCOINUSDT,0.1977,51029064.7477,15.5551,bullish,bullish,bullish,bullish,0.13028,0.14369,bullish,0.14903,bullish,0.14369,premium,premium,64.09758595504458,21.855085748626387,B+,0.5807860262008724,0.19765,0.19307,0.20031,3,3,False,True,False,bullish,True,1.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-15.188450363359363,C,,0.19765,0.19697,0.19307,0,0,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,1.3742263537822264,1.4124782937096625,4.169639879657683,-0.2674988854213134,-0.1293083506824,-0.7092508480423199,6.0,-2.740987844477411,2.75,0.0,3,0,0.8444195493188644,0.5427884353269796,0.34417029590219084,2.5911726789345635,1.6194104376270972,True,13.263913069691826,-14.06687295650905
TAOUSDT,319.9,131775751.384,20.2297,bullish,bullish,bullish,bullish,213.11,210.53,bullish,242.12,bullish,210.53,premium,premium,70.09628711626914,21.254508982200438,B+,0.3290322580645179,319.9,310.6,322.96,3,3,False,True,False,bullish,True,2.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-14.209518664031446,C,,319.9,311.12,310.6,2,0,True,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,0.38938912170086715,2.2166251129513648,4.979667148533817,-0.2674988854213134,-0.1293083506824,-0.7092508480423199,6.0,-2.5095927478005784,2.75,0.0,3,0,0.9605027432121327,5.511209763135794,5.6494446337060245,3.0775425236412017,1.3021398832744207,False,12.176966458559235,-13.002065799505289
SPXUSDT,0.5102,16079379.8034,7.201499999999999,bullish,bullish,bullish,bullish,0.31,0.3418,bullish,0.4948,bullish,0.3418,premium,premium,55.07979456427094,21.077426780919552,B+,1.228571428571429,0.5102,0.4927,0.5317,3,3,False,True,False,bullish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-15.8249646439046,C,,0.5102,0.5099,0.4927,0,0,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,0.42482435248129,1.0007680456714962,1.660687914444714,-0.2674988854213134,-0.1293083506824,-0.7092508480423199,5.75792150634145,-1.5079215063414502,2.75,0.0,3,0,-0.08186588550662677,-0.18612619238325134,-1.317534320453717,0.6084261285689515,-0.04955085500086697,False,14.71107914600915,-14.267492282562284
ONDOUSDT,0.4612,120228350.4809,4.1449,bullish,bullish,bullish,bullish,0.3229,0.3952,bullish,0.3867,bullish,0.3952,premium,premium,66.41700254765982,20.98273540511624,B+,0.1923076923076931,0.4612,0.4534,0.4627,1,5,False,False,False,bullish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-14.373045333590543,C,5.199999999999978,0.4612,0.4627,0.4534,0,0,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,0.9447984266054976,1.560080967895694,2.386214660928454,-0.2674988854213134,-0.1293083506824,-0.7092508480423199,6.0,-2.457996824129969,2.75,0.0,3,0,-0.2763768325828142,-0.4485664769120157,2.385338345304455,0.7584249573371058,0.0029487350679870197,False,14.224310447779136,-11.91799724452856
JUPUSDT,0.3002,21207433.1952,-1.6393000000000002,bullish,bullish,bullish,bearish,0.2071,0.1892,bullish,0.2564,bullish,0.1892,premium,premium,56.78492154233763,20.98254471490591,B+,2.820512820512798,0.3002,0.2963,0.3112,3,3,False,True,False,bullish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m reverse,-11.363975346123137,C,,0.3002,0.2995,0.2963,0,2,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m bearish | 4H premium,0.636378831766049,0.7005449098221983,1.2467046606053023,-0.2674988854213134,-0.1293083506824,-0.7092508480423199,5.565239568253252,-1.3152395682532514,2.75,0.0,3,0,0.3841492037417682,0.023430268121549247,-2.853889829472367,1.4161970830919126,0.7206689790821694,True,14.001108063560745,-10.769404756952056
TSLAUSDT,376.1,15443701.0601,2.6404,bullish,bullish,bullish,bullish,354.53,318.55,bullish,374.36,bullish,318.55,premium,premium,62.0498967199007,20.802811528910343,B+,4.5925925925923465,376.1,375.56,378.58,3,3,False,True,False,bullish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-14.930631168097102,C,,376.1,375.56,375.56,0,0,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,0.36864880024244373,0.17985774275944832,0.8850633147445164,-0.2674988854213134,-0.1293083506824,-0.7092508480423199,3.4505115286713934,-0.7005115286713934,1.25,0.0,3,0,0.7437609611771645,-0.360448368345867,-0.14618492725032572,0.8767994456379307,0.04437980597327574,False,16.47550055460102,-14.274499445398984
TRUMPUSDT,2.2,44369904.9508,2.8208,bullish,bullish,bullish,bullish,1.811,1.508,bullish,2.061,bullish,1.508,premium,premium,57.7706558674879,20.419764280370778,B+,0.5714285714285696,2.2,2.165,2.22,2,4,False,False,True,bearish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-14.232222916858829,C,1.7500000000000056,2.2,2.22,2.165,1,1,False,False,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,1.0909206603527122,0.8605697766421838,1.671229776122951,-0.2674988854213134,-0.1293083506824,-0.7092508480423199,5.3776914256039445,-1.8776914256039448,2.0,0.0,3,0,-0.06168018137263642,-0.20489969813217712,0.20073892338661192,0.7118088839894597,-0.01336689060368908,False,14.330263970777374,-12.341164600651194
WLDUSDT,0.4652,82310058.1986,4.6028,bullish,bullish,bullish,bullish,0.3523,0.403,bullish,0.4099,bullish,0.403,premium,premium,65.09367763007802,20.28800657965052,B+,0.0104166666666655,0.4652,0.4556,0.4653,3,3,False,False,True,bullish,True,0.0,False,1D bullish | 4H bullish | 1H bullish | 15m bullish,-14.378056348599792,C,96.00000000001054,0.4652,0.4653,0.4556,0,0,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H premium,2.253964722574764,2.1397978611718993,1.3995010637455119,-0.2674988854213134,-0.1293083506824,-0.7092508480423199,5.859800425498205,-2.3598004254982046,2.0,0.0,3,0,-0.34316988137859106,0.13136110429494696,-0.4409813115386019,0.6516083239803646,-0.03443708660687239,False,13.776597830171951,-11.983818836494716
