symbol,last,turnover24h,price24h_pct,1D,4H,1H,15m,1D_protected_low,1D_protected_high,1D_last_bos_side,1D_last_bos_level,1D_last_choch_side,1D_last_choch_level,4H_location,1H_location,15m_rsi,long_score,long_grade,long_rr,long_entry,long_stop_hint,long_target_hint,long_15m_trigger,long_5m_trigger,long_sweep15,long_mss15,long_disp15,long_fvg5,long_htf_aligned,long_chase_penalty,long_entry_model_ready,long_reasons,short_score,short_grade,short_rr,short_entry,short_stop_hint,short_target_hint,short_15m_trigger,short_5m_trigger,short_sweep15,short_mss15,short_disp15,short_fvg5,short_htf_aligned,short_chase_penalty,short_entry_model_ready,short_reasons,rs_vs_btc_30m_pct,rs_vs_btc_1h_pct,rs_vs_btc_4h_pct,btc_return_30m_pct,btc_return_1h_pct,btc_return_4h_pct,long_relative_strength_adj,short_relative_strength_adj,long_rs_persistence_bonus,short_rs_persistence_bonus,long_rs_positive_horizons,short_rs_positive_horizons,oi_change_15m_pct,oi_change_1h_pct,oi_change_4h_pct,long_oi_adj,short_oi_adj,oi_accelerating,long_score_base,short_score_base
CRCLUSDT,94.12,39262961.8747,-0.5919,bearish,bearish,bullish,bearish,85.74,105.75,bullish,103.47,bearish,85.74,premium,equilibrium,45.51509338258612,-10.535764523491242,C,1.6399999999999864,94.12,93.87,94.53,0,1,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H bullish | 15m reverse,13.57964325384762,B,0.6097560975609807,94.12,94.53,93.87,1,0,False,False,False,bullish,True,0.0,False,1D bearish | 4H bearish | 1H reverse | 15m bearish | 4H premium,-0.05058798143405818,-0.029743447762542452,-0.5192507288035109,-0.2145514819236638,0.008480424160595135,-0.08322258268574911,-0.2580819432244669,1.508081943224467,0.0,1.25,0,3,0.19622833674040052,0.36183650356484964,1.2728297756382956,1.5697241964078885,2.4492119897368245,True,-11.847406776674664,9.622349320886329
SOXSUSDT,32.36,11709783.4724,-6.8776,bearish,bearish,bearish,bearish,41.94,52.28,bullish,47.99,bearish,41.94,discount,discount,29.05041319746788,-11.212237891434427,C,5.333333333333254,32.36,32.33,32.52,0,1,False,False,False,bullish,False,0.0,False,1D reverse | 4H reverse | 1H reverse | 15m reverse | 4H discount,12.965155965335757,B+,0.1875000000000027,32.36,32.52,32.33,1,2,False,False,False,bullish,True,0.0,False,1D bearish | 4H bearish | 1H bearish | 15m bearish,0.27637528408748224,-0.2550135520496766,-0.16331054520333232,-0.2145514819236638,0.008480424160595135,-0.08322258268574911,0.726118382162503,0.523881617837497,0.0,0.5,1,2,-0.23313780570813902,-1.0650512439399518,-3.433423553191217,-0.16577581941028513,0.27635480168489956,False,-11.772580454186643,12.164919545813362
XAUUSDT,4368.78,167946271.7216,-0.0713,bearish,bullish,bearish,bullish,4332.0,4448.1,bearish,4296.3,bearish,4332.0,premium,premium,61.79060059157213,-5.496537758674982,C,0.3723404255321285,4368.78,4365.02,4370.18,1,0,False,False,False,bearish,False,0.0,False,1D reverse | 4H bullish | 1H reverse | 15m bullish,9.338889922902156,B,2.685714285712745,4368.78,4370.18,4365.02,0,1,False,False,False,bearish,False,0.0,False,1D bearish | 4H reverse | 1H bearish | 15m reverse | 4H premium,0.10949239477039407,-0.07831554458611611,-0.009945474634343032,-0.2145514819236638,0.008480424160595135,-0.08322258268574911,0.7751600350249671,0.47483996497503284,0.0,0.5,1,2,0.06098820691387008,0.5913318116057109,1.0594925363206054,0.8158936338557846,1.688267525302242,False,-7.087591427555735,7.1757824326248825
XAUTUSDT,4359.9,41734259.1695,-0.0939,bearish,bullish,bearish,bullish,4315.7,4438.1,bearish,4295.0,bearish,4315.7,premium,premium,60.00702908637346,-5.706175281757056,C,0.7272727272729528,4359.9,4357.7,4361.5,1,1,False,False,False,bullish,False,0.0,False,1D reverse | 4H bullish | 1H reverse | 15m bullish,6.048422938791192,C,1.3749999999995737,4359.9,4361.5,4357.7,0,0,False,False,False,bullish,False,0.0,False,1D bearish | 4H reverse | 1H bearish | 15m reverse | 4H premium,0.12052987988731001,-0.040605252063297126,-0.02454345037777861,-0.2145514819236638,0.008480424160595135,-0.08322258268574911,0.7977969319516488,0.45220306804835114,0.0,0.5,1,2,0.10716920027251664,-1.0914117135865764,-1.0268477285449995,-0.07944202445580967,0.5230227872691152,False,-6.424530189252895,5.073197083473726
LINKUSDT,13.03,68960125.4378,-0.7095,bearish,bullish,bullish,bearish,10.903,13.676,bullish,12.075,bearish,10.903,premium,premium,53.77119541537908,-3.0214298326861226,C,0.4660194174757296,13.03,12.824,13.126,0,0,False,False,False,bearish,False,0.0,False,1D reverse | 4H bullish | 1H bullish | 15m reverse,3.6788586069527796,C,2.1458333333333264,13.03,13.126,12.824,1,1,False,False,False,bearish,False,0.0,False,1D bearish | 4H reverse | 1H reverse | 15m bearish | 4H premium,-0.4955890189926482,0.04538644771321376,0.1293906343939777,-0.2145514819236638,0.008480424160595135,-0.08322258268574911,0.24677998514855864,0.25322001485144136,0.5,0.0,2,1,0.04485533733173952,0.2906495101435924,-0.09683259040702552,0.8053315475716589,0.019366041650080636,False,-4.07354136540634,3.406272550451258
LSKUSDT,0.31483,20777512.5224,-13.1321,bullish,bearish,bearish,bearish,0.09675,0.08837,bullish,0.10418,bullish,0.08837,discount,discount,33.16946252916233,-1.5975184285442081,C,6.341772151898579,0.31485,0.31406,0.31986,0,0,False,False,False,bearish,False,0.0,False,1D bullish | 4H reverse | 1H reverse | 15m reverse | 4H discount,3.4756938334049807,C,0.1576846307385268,0.31485,0.31986,0.31406,1,1,False,False,False,bearish,False,1.0,False,1D reverse | 4H bearish | 1H bearish | 15m bearish,-0.7917378262524255,-1.1049647623427528,-2.828201054126478,-0.2145514819236638,0.008480424160595135,-0.08322258268574911,-2.27788590606415,5.027885906064149,0.0,2.75,0,3,0.0627109029235573,0.23968986483111632,-1.7959008457328896,-0.021669943571035095,0.6880858755113283,False,0.7020374210909768,-2.240277948170497
BZUSDT,94.56,21596298.835,-1.8085,bullish,bearish,bearish,bearish,93.04,91.72,bullish,97.5,bullish,91.72,discount,discount,42.61578388113018,-0.27550139507397614,C,0.1075268817204232,94.56,93.63,94.66,0,2,False,False,False,bearish,False,0.0,False,1D bullish | 4H reverse | 1H reverse | 15m reverse | 4H discount,2.9315802909187614,C,9.300000000000598,94.56,94.66,93.63,1,3,False,False,False,bearish,False,0.0,False,1D reverse | 4H bearish | 1H bearish | 15m bearish,0.23570654856210904,-0.0718919650610439,0.15730449611573993,-0.2145514819236638,0.008480424160595135,-0.08322258268574911,0.9297999970535175,-0.17979999705351743,0.0,0.0,2,1,0.0488619099929144,-0.11181479908242142,-5.118495521205735,-0.1215800051737404,0.40262855664645597,False,-1.0837213869537532,2.708751731325823
VIRTUALUSDT,0.7497,21918624.7912,3.0498000000000003,bearish,bullish,bullish,bullish,0.6531,0.7579,bullish,0.7289,bearish,0.6531,premium,premium,58.22732618947809,-1.7964140057927764,C,0.8761061946902604,0.7497,0.7384,0.7596,0,0,False,False,False,bearish,False,0.0,False,1D reverse | 4H bullish | 1H bullish | 15m bullish,1.7376874434967458,C,1.141414141414148,0.7497,0.7596,0.7384,1,3,False,False,False,bearish,False,0.0,False,1D bearish | 4H reverse | 1H reverse | 15m reverse | 4H premium,-0.8284905038170143,-0.4600676203353804,1.4766208510840317,-0.2145514819236638,0.008480424160595135,-0.08322258268574911,-0.21931652949887648,0.21931652949887648,0.0,0.0,1,2,-0.3770677711111614,-0.7362291017065203,0.6359034063333935,-0.0645289919249871,0.565631451642894,False,-1.512568484368913,0.9527394623549754
WLFIUSDT,0.05833,16291908.6078,2.0118,bullish,bearish,bearish,bullish,0.05056,0.05617,bearish,0.05371,bullish,0.05617,equilibrium,premium,56.11313060965855,-0.18123967694407306,C,0.4838709677419304,0.05833,0.05802,0.05848,1,0,False,False,False,bearish,False,0.0,False,1D bullish | 4H reverse | 1H reverse | 15m bullish,1.6455233023077531,C,2.066666666666688,0.05833,0.05848,0.05802,0,1,False,False,False,bearish,False,0.0,False,1D reverse | 4H bearish | 1H bearish | 15m reverse,0.0433479208896026,-0.059903118709792036,1.0179637978493195,-0.2145514819236638,0.008480424160595135,-0.08322258268574911,1.152538386588646,-0.402538386588646,0.0,0.0,2,1,0.07359421832378032,0.019831337498210644,-1.5212781987393398,0.7225621826561942,1.4216062361605548,True,-2.0563402461889133,0.6264554527358442
BRUSDT,1.13936,16313597.3227,2.2095,bullish,bullish,bearish,bullish,0.24333,0.17539,bullish,0.32485,bullish,0.17539,premium,equilibrium,44.08869623733327,2.8675772227853065,C,,1.13936,1.15861,1.16438,0,0,False,False,False,bearish,True,0.0,False,1D bullish | 4H bullish | 1H reverse | 15m bullish,1.5597365805243257,C,6.161071143085517,1.13936,1.16438,0.98521,3,3,False,True,False,bearish,False,0.0,False,1D reverse | 4H reverse | 1H bearish | 15m reverse | 4H premium,-0.6248261248053,-2.0099266304515973,-3.2693540367216722,-0.2145514819236638,0.008480424160595135,-0.08322258268574911,-2.6665507498701997,5.4165507498702,0.0,2.75,0,3,-0.13043868720258311,-0.6853086300651068,-0.9685340288562716,-0.07589192261612716,0.5331659353824938,False,5.610019895271633,-4.389980104728368
